Castle Name,Latitude,Longitude,Google Maps Link,Wikipedia Link
Água Doce,38.72825,-9.476167,"https://www.google.com/maps?q=38.72825,-9.476167",https://pt.wikipedia.org/wiki/Bateria_Alta
Ínsua,41.85916667,-8.87472222,"https://www.google.com/maps?q=41.85916667,-8.87472222",https://pt.wikipedia.org/wiki/Forte_da_%C3%8Dnsua
Albarquel,38.51111667,-8.91325,"https://www.google.com/maps?q=38.51111667,-8.91325",https://pt.wikipedia.org/wiki/Forte_de_Albarquel
Almeida,40.72585,-6.90583333,"https://www.google.com/maps?q=40.72585,-6.90583333",https://pt.wikipedia.org/wiki/Pra%C3%A7a-forte_de_Almeida
Alto do Duque,38.703777777778,-9.2221388888889,"https://www.google.com/maps?q=38.703777777778,-9.2221388888889",https://pt.wikipedia.org/wiki/Forte_do_Alto_do_Duque
Ameixoeira,38.786497,-9.152016,"https://www.google.com/maps?q=38.786497,-9.152016",https://pt.wikipedia.org/wiki/Forte_da_Ameixoeira
Arrábida,38.4738,-8.9829,"https://www.google.com/maps?q=38.4738,-8.9829",https://pt.wikipedia.org/wiki/Forte_de_Santa_Maria_da_Arr%C3%A1bida
Atalaia da Cabeça Magra,38.139871,-7.454805,"https://www.google.com/maps?q=38.139871,-7.454805",https://pt.wikipedia.org/wiki/Atalaia_da_Cabe%C3%A7a_Magra
Atalaia da Candaira,41.81728647,-6.72983239,"https://www.google.com/maps?q=41.81728647,-6.72983239",https://pt.wikipedia.org/wiki/Atalaia_da_Candaira
Atalaia de Candaira,41.81728647,-6.72983239,"https://www.google.com/maps?q=41.81728647,-6.72983239",https://pt.wikipedia.org/wiki/Atalaia_de_Candaira
Atalaia de Lovelhe,41.9458333333333,-8.73694444444445,"https://www.google.com/maps?q=41.9458333333333,-8.73694444444445",https://pt.wikipedia.org/wiki/Atalaia_de_Lovelhe
Atalaia do Torrejão,39.293068,-7.423241,"https://www.google.com/maps?q=39.293068,-7.423241",https://pt.wikipedia.org/wiki/Atalaia_do_Torrej%C3%A3o
Atalaia Magra,38.139871,-7.454805,"https://www.google.com/maps?q=38.139871,-7.454805",https://pt.wikipedia.org/wiki/Atalaia_Magra
Baluarte de São Vicente a par de Belém,38.691388888889,-9.2158333333333,"https://www.google.com/maps?q=38.691388888889,-9.2158333333333",https://pt.wikipedia.org/wiki/Baluarte_de_S%C3%A3o_Vicente_a_par_de_Bel%C3%A9m
Baluarte de Santa Apolónia,38.723543,-9.116993,"https://www.google.com/maps?q=38.723543,-9.116993",https://pt.wikipedia.org/wiki/Baluarte_de_Santa_Apol%C3%B3nia
Baluarte do Restelo,38.691388888889,-9.2158333333333,"https://www.google.com/maps?q=38.691388888889,-9.2158333333333",https://pt.wikipedia.org/wiki/Baluarte_do_Restelo
Baluarte do Torrejão,39.293068,-7.423241,"https://www.google.com/maps?q=39.293068,-7.423241",https://pt.wikipedia.org/wiki/Baluarte_do_Torrej%C3%A3o
Barra Aveiro,40.64525556,-8.73284722,"https://www.google.com/maps?q=40.64525556,-8.73284722",https://pt.wikipedia.org/wiki/Forte_da_Barra_de_Aveiro
Bateria Alta da Água Doce,38.72825,-9.476167,"https://www.google.com/maps?q=38.72825,-9.476167",https://pt.wikipedia.org/wiki/Bateria_Alta_da_%C3%81gua_Doce
Bateria da Mata,41.9458333333333,-8.73694444444445,"https://www.google.com/maps?q=41.9458333333333,-8.73694444444445",https://pt.wikipedia.org/wiki/Bateria_da_Mata
Bateria de Albufeira,37.0867042541504,-8.25169944763184,"https://www.google.com/maps?q=37.0867042541504,-8.25169944763184",https://pt.wikipedia.org/wiki/Bateria_de_Albufeira
Bateria de Albufeira,37.0867042541504,-8.25169944763184,"https://www.google.com/maps?q=37.0867042541504,-8.25169944763184",https://pt.wikipedia.org/wiki/Bateria_de_Albufeira
Bateria de Costa da Espalamaca,38.55,-28.61,"https://www.google.com/maps?q=38.55,-28.61",https://pt.wikipedia.org/wiki/Bateria_de_Costa_da_Espalamaca
Bateria do Catalazete,38.677929,-9.317561,"https://www.google.com/maps?q=38.677929,-9.317561",https://pt.wikipedia.org/wiki/Bateria_do_Catalazete
Bateria do Manique,38.723543,-9.116993,"https://www.google.com/maps?q=38.723543,-9.116993",https://pt.wikipedia.org/wiki/Bateria_do_Manique
Bateria do Zavial,37.044768,-8.875853,"https://www.google.com/maps?q=37.044768,-8.875853",https://pt.wikipedia.org/wiki/Bateria_do_Zavial
Bateria do Zavial,37.044768,-8.875853,"https://www.google.com/maps?q=37.044768,-8.875853",https://pt.wikipedia.org/wiki/Bateria_do_Zavial
Belém,38.691388888889,-9.2158333333333,"https://www.google.com/maps?q=38.691388888889,-9.2158333333333",https://pt.wikipedia.org/wiki/Torre_de_Bel%C3%A9m
Belixe,37.02733333,-8.98248333,"https://www.google.com/maps?q=37.02733333,-8.98248333",https://pt.wikipedia.org/wiki/Fortaleza_de_Belixe
Biscoitinho,38.65341944,-27.27458056,"https://www.google.com/maps?q=38.65341944,-27.27458056",https://pt.wikipedia.org/wiki/Forte_de_S%C3%A3o_Jo%C3%A3o_(S%C3%A3o_Mateus_da_Calheta)
Biscoitos,38.80027778,-27.26194444,"https://www.google.com/maps?q=38.80027778,-27.26194444",https://pt.wikipedia.org/wiki/Forte_de_S%C3%A3o_Pedro_(Biscoitos)
Cão,41.797679,-8.873923,"https://www.google.com/maps?q=41.797679,-8.873923",https://pt.wikipedia.org/wiki/Forte_do_C%C3%A3o
Cacela,37.157175,-7.545631,"https://www.google.com/maps?q=37.157175,-7.545631",https://pt.wikipedia.org/wiki/Fortaleza_de_Cacela
Caninas,38.64277778,-27.08305556,"https://www.google.com/maps?q=38.64277778,-27.08305556",https://pt.wikipedia.org/wiki/Forte_das_Caninas_(Vila_de_S%C3%A3o_Sebasti%C3%A3o)
Castelo Bom,40.620277777778,-6.9005555555556,"https://www.google.com/maps?q=40.620277777778,-6.9005555555556",https://pt.wikipedia.org/wiki/Castelo_Bom
Castelo Branco (Vila Franca do Campo),37.754325,-25.355447,"https://www.google.com/maps?q=37.754325,-25.355447",https://pt.wikipedia.org/wiki/Castelo_Branco_(Vila_Franca_do_Campo)
Castelo Branco,39.82277777777778,-7.493055555555555,"https://www.google.com/maps?q=39.82277777777778,-7.493055555555555",https://pt.wikipedia.org/wiki/Castelo_Branco
Castelo Branco,39.82332,-7.52194,"https://www.google.com/maps?q=39.82332,-7.52194",https://pt.wikipedia.org/wiki/Castelo_Branco_(freguesia)
Castelo da Azinheira,39.284608,-7.64291,"https://www.google.com/maps?q=39.284608,-7.64291",https://pt.wikipedia.org/wiki/Castelo_da_Azinheira
Castelo da Covilhã,40.281078338623,-7.50792598724365,"https://www.google.com/maps?q=40.281078338623,-7.50792598724365",https://pt.wikipedia.org/wiki/Castelo_da_Covilh%C3%A3
Castelo da Gafanha,40.64525556,-8.73284722,"https://www.google.com/maps?q=40.64525556,-8.73284722",https://pt.wikipedia.org/wiki/Castelo_da_Gafanha
Castelo da Guarda,40.5375,-7.27166667,"https://www.google.com/maps?q=40.5375,-7.27166667",https://pt.wikipedia.org/wiki/Castelo_da_Guarda
Castelo da Lousã,40.100405,-8.235424,"https://www.google.com/maps?q=40.100405,-8.235424",https://pt.wikipedia.org/wiki/Castelo_da_Lous%C3%A3
Castelo da Lousa,38.35935278,-7.4032,"https://www.google.com/maps?q=38.35935278,-7.4032",https://pt.wikipedia.org/wiki/Castelo_da_Lousa
Castelo da Mêda,40.963156,-7.264006,"https://www.google.com/maps?q=40.963156,-7.264006",https://pt.wikipedia.org/wiki/Castelo_da_M%C3%AAda
Castelo da Piconha,41.892408,-7.866286,"https://www.google.com/maps?q=41.892408,-7.866286",https://pt.wikipedia.org/wiki/Castelo_da_Piconha
Castelo da Senhora da Luz,37.0851,-8.73047,"https://www.google.com/maps?q=37.0851,-8.73047",https://pt.wikipedia.org/wiki/Castelo_da_Senhora_da_Luz
Castelo da Sertã,39.80656,-8.099464,"https://www.google.com/maps?q=39.80656,-8.099464",https://pt.wikipedia.org/wiki/Castelo_da_Sert%C3%A3
Castelo da Vidigueira,38.394055,-7.514334,"https://www.google.com/maps?q=38.394055,-7.514334",https://pt.wikipedia.org/wiki/Castelo_da_Vidigueira_(%C3%89vora)
Castelo de Évora Monte,38.77189,-7.715841,"https://www.google.com/maps?q=38.77189,-7.715841",https://pt.wikipedia.org/wiki/Castelo_de_%C3%89vora_Monte
Castelo de Évora,38.5733,-7.9075,"https://www.google.com/maps?q=38.5733,-7.9075",https://pt.wikipedia.org/wiki/Castelo_de_%C3%89vora
Castelo de Évoramonte,38.77189,-7.715841,"https://www.google.com/maps?q=38.77189,-7.715841",https://pt.wikipedia.org/wiki/Castelo_de_%C3%89voramonte
Castelo de Óbidos,39.364167,-9.157646,"https://www.google.com/maps?q=39.364167,-9.157646",https://pt.wikipedia.org/wiki/Castelo_de_%C3%93bidos
Castelo de Abrantes,39.46445833,-8.19481944,"https://www.google.com/maps?q=39.46445833,-8.19481944",https://pt.wikipedia.org/wiki/Castelo_de_Abrantes
Castelo de Aguiar da Pena,41.46944444,-7.68027778,"https://www.google.com/maps?q=41.46944444,-7.68027778",https://pt.wikipedia.org/wiki/Castelo_de_Aguiar_da_Pena
Castelo de Albufeira,37.087972,-8.251621,"https://www.google.com/maps?q=37.087972,-8.251621",https://pt.wikipedia.org/wiki/Castelo_de_Albufeira
Castelo de Albufeira,37.087972,-8.251621,"https://www.google.com/maps?q=37.087972,-8.251621",https://pt.wikipedia.org/wiki/Castelo_de_Albufeira
Castelo de Albur,37.12926667,-8.59363611,"https://www.google.com/maps?q=37.12926667,-8.59363611",https://pt.wikipedia.org/wiki/Castelo_de_Albur
Castelo de Alcanede,39.41722222,-8.82138889,"https://www.google.com/maps?q=39.41722222,-8.82138889",https://pt.wikipedia.org/wiki/Castelo_de_Alcanede
Castelo de Alcantarilha,37.12829722222222,-8.345661111111111,"https://www.google.com/maps?q=37.12829722222222,-8.345661111111111",https://pt.wikipedia.org/wiki/Castelo_de_Alcantarilha
Castelo de Alcobaça,39.55055556,-8.98222222,"https://www.google.com/maps?q=39.55055556,-8.98222222",https://pt.wikipedia.org/wiki/Castelo_de_Alcoba%C3%A7a
Castelo de Alcoutim,37.47060278,-7.47189167,"https://www.google.com/maps?q=37.47060278,-7.47189167",https://pt.wikipedia.org/wiki/Castelo_de_Alcoutim
Castelo de Alcoutim,37.47060278,-7.47189167,"https://www.google.com/maps?q=37.47060278,-7.47189167",https://pt.wikipedia.org/wiki/Castelo_de_Alcoutim
Castelo de Alegrete,39.23705,-7.32415,"https://www.google.com/maps?q=39.23705,-7.32415",https://pt.wikipedia.org/wiki/Castelo_de_Alegrete
Castelo de Alenquer,39.0575,-9.0075,"https://www.google.com/maps?q=39.0575,-9.0075",https://pt.wikipedia.org/wiki/Castelo_de_Alenquer
Castelo de Alfeizerão,39.5002555847168,-9.11086654663086,"https://www.google.com/maps?q=39.5002555847168,-9.11086654663086",https://pt.wikipedia.org/wiki/Castelo_de_Alfeizer%C3%A3o
Castelo de Algoso,41.461533,-6.579374,"https://www.google.com/maps?q=41.461533,-6.579374",https://pt.wikipedia.org/wiki/Castelo_de_Algoso
Castelo de Aljezur,37.31628,-8.805204,"https://www.google.com/maps?q=37.31628,-8.805204",https://pt.wikipedia.org/wiki/Castelo_de_Aljezur
Castelo de Aljustrel,37.881407,-8.167456,"https://www.google.com/maps?q=37.881407,-8.167456",https://pt.wikipedia.org/wiki/Castelo_de_Aljustrel
Castelo de Almada,38.68444444,-9.15555556,"https://www.google.com/maps?q=38.68444444,-9.15555556",https://pt.wikipedia.org/wiki/Castelo_de_Almada
Castelo de Almourol,39.46194444,-8.38383056,"https://www.google.com/maps?q=39.46194444,-8.38383056",https://pt.wikipedia.org/wiki/Castelo_de_Almourol
Castelo de Alpalhão,39.41666667,-7.61888333,"https://www.google.com/maps?q=39.41666667,-7.61888333",https://pt.wikipedia.org/wiki/Castelo_de_Alpalh%C3%A3o
